,Name,Code,Sector
324,국도화학,007690,Basic Materials
325,DB,012030,Technology
326,YG PLUS,037270,Communication Services
327,아세아시멘트,183190,Basic Materials
328,엘브이엠씨홀딩스,900140,Consumer Cyclical
329,세아제강,306200,Basic Materials
330,풀무원,017810,Consumer Defensive
331,케이씨텍,281820,Technology
332,현대그린푸드,453340,Consumer Defensive
333,서울가스,017390,Utilities
334,맵스리얼티1,094800,Etc
335,SGC에너지,005090,Industrials
336,쎌마테라퓨틱스,015540,Etc
337,LX하우시스,108670,Industrials
338,HDC,012630,Real Estate
339,진원생명과학,011000,Healthcare
340,백광산업,001340,Basic Materials
341,신영증권우,001725,Financial Services
342,삼성FN리츠,448730,Real Estate
343,BGF,027410,Consumer Cyclical
344,SIMPAC,009160,Industrials
345,한국자산신탁,123890,Real Estate
346,코리아써키트,007810,Technology
347,에이프로젠,007460,Industrials
348,코오롱플라스틱,138490,Basic Materials
349,남선알미늄,008350,Basic Materials
350,일성신약,003120,Healthcare
351,세진중공업,075580,Industrials
352,조선내화,000480,Basic Materials
353,유나이티드제약,033270,Healthcare
354,신도리코,029530,Industrials
355,남양유업,003920,Consumer Defensive
356,HL홀딩스,060980,Consumer Cyclical
357,아모레퍼시픽우,090435,Consumer Defensive
358,현대퓨처넷,126560,Communication Services
359,휴스틸,005010,Basic Materials
360,한화리츠,451800,Real Estate
361,조일알미늄,018470,Basic Materials
362,한일홀딩스,003300,Basic Materials
363,유진투자증권,001200,Financial Services
364,에어부산,298690,Industrials
365,풍산홀딩스,005810,Basic Materials
366,E1,017940,Energy
367,교보증권,030610,Financial Services
368,한국토지신탁,034830,Real Estate
369,웅진씽크빅,095720,Communication Services
370,한화3우B,00088K,Industrials
371,SNT다이내믹스,003570,Industrials
372,한일현대시멘트,006390,Basic Materials
373,대신증권우,003545,Financial Services
374,이리츠코크렙,088260,Real Estate
375,일양약품,007570,Healthcare
376,퍼시스,016800,Consumer Cyclical
377,SK증권,001510,Financial Services
378,이아이디,093230,Technology
379,농심홀딩스,072710,Consumer Defensive
380,효성화학,298000,Basic Materials
381,LG헬로비전,037560,Communication Services
382,덕양산업,024900,Consumer Cyclical
383,광동제약,009290,Healthcare
384,잇츠한불,226320,Consumer Defensive
385,대한제당,001790,Consumer Defensive
386,한미글로벌,053690,Industrials
387,아이마켓코리아,122900,Industrials
388,흥아해운,003280,Industrials
389,이연제약,102460,Healthcare
390,조광피혁,004700,Consumer Cyclical
391,대한제강,084010,Basic Materials
392,수산인더스트리,126720,Industrials
393,스카이라이프,053210,Communication Services
394,HJ중공업,097230,Industrials
395,한화갤러리아,452260,Consumer Cyclical
396,STX엔진,077970,Industrials
397,서흥,008490,Healthcare
398,대원제약,003220,Healthcare
399,삼진제약,005500,Healthcare
400,지역난방공사,071320,Utilities
401,방림,003610,Consumer Cyclical
402,알루코,001780,Basic Materials
403,아세아,002030,Basic Materials
404,KISCO홀딩스,001940,Basic Materials
405,아세아제지,002310,Basic Materials
406,KEC,092220,Technology
407,DL건설,001880,Industrials
408,일진전기,103590,Industrials
409,대성홀딩스,016710,Utilities
410,CJ4우(전환),00104K,Industrials
411,한진,002320,Industrials
412,한국쉘석유,002960,Energy
413,락앤락,115390,Consumer Cyclical
414,제일약품,271980,Healthcare
415,신성통상,005390,Consumer Cyclical
416,환인제약,016580,Healthcare
417,한농화성,011500,Basic Materials
418,모토닉,009680,Consumer Cyclical
419,유니퀘스트,077500,Technology
420,도화엔지니어링,002150,Industrials
421,현대차증권,001500,Financial Services
422,세방,004360,Industrials
423,대동,000490,Industrials
424,일진다이아,081000,Industrials
425,경방,000050,Consumer Cyclical
426,대한방직,001070,Consumer Cyclical
427,동화약품,000020,Healthcare
428,한국철강,104700,Basic Materials
429,에스엠벡셀,010580,Consumer Cyclical
430,삼익THK,004380,Technology
431,에이프로젠바이오로직스,003060,Healthcare
432,만호제강,001080,Basic Materials
433,SNT홀딩스,036530,Industrials
434,케이씨,029460,Technology
435,자이에스앤디,317400,Real Estate
436,포스코스틸리온,058430,Industrials
437,롯데하이마트,071840,Consumer Cyclical
438,코오롱글로벌,003070,Industrials
439,한솔제지,213500,Basic Materials
440,한국콜마홀딩스,024720,Consumer Defensive
441,TYM,002900,Industrials
442,광주신세계,037710,Consumer Cyclical
443,키다리스튜디오,020120,Communication Services
444,대원강업,000430,Consumer Cyclical
445,NPC,004250,Consumer Cyclical
446,대상홀딩스,084690,Consumer Defensive
447,사조대림,003960,Consumer Defensive
448,삼양패키징,272550,Consumer Cyclical
449,일신방직,003200,Consumer Cyclical
450,BYC,001460,Consumer Cyclical
451,하나제약,293480,Healthcare
452,현대차3우B,005389,Consumer Cyclical
453,한전산업,130660,Utilities
454,코오롱모빌리티그룹,450140,Consumer Cyclical
455,대교,019680,Consumer Defensive
456,코오롱,002020,Industrials
457,신세계 I&C,035510,Technology
458,GS글로벌,001250,Industrials
459,동양,001520,Basic Materials
460,AK홀딩스,006840,Basic Materials
461,HLB글로벌,003580,Industrials
462,STX,011810,Industrials
463,종근당홀딩스,001630,Healthcare
464,삼영무역,002810,Industrials
465,넥센,005720,Consumer Cyclical
466,현대비앤지스틸,004560,Basic Materials
467,성신양회,004980,Basic Materials
468,아주스틸,139990,Basic Materials
469,한국금융지주우,071055,Financial Services
470,테이팩스,055490,Basic Materials
471,한솔테크닉스,004710,Technology
472,그린케미칼,083420,Basic Materials
473,와이투솔루션,011690,Industrials
474,현대코퍼레이션,011760,Industrials
475,스틱인베스트먼트,026890,Financial Services
476,JW홀딩스,096760,Healthcare
477,대성에너지,117580,Utilities
478,디아이씨,092200,Consumer Cyclical
479,대한제분,001130,Consumer Defensive
480,경동인베스트,012320,Utilities
481,두산우,000155,Industrials
482,세종공업,033530,Consumer Cyclical
483,현대지에프홀딩스,005440,Consumer Defensive
484,금호건설,002990,Industrials
485,일진홀딩스,015860,Industrials
486,다올투자증권,030210,Financial Services
487,미원홀딩스,107590,Basic Materials
488,신대양제지,016590,Basic Materials
489,LS네트웍스,000680,Consumer Cyclical
490,큐로,015590,Industrials
491,동성케미컬,102260,Basic Materials
492,KPX케미칼,025000,Basic Materials
493,무림P&P,009580,Basic Materials
494,대덕,008060,Technology
495,하이트진로홀딩스,000140,Consumer Defensive
496,삼성제약,001360,Healthcare
497,교촌에프앤비,339770,Consumer Cyclical
498,HDC랩스,039570,Technology
499,이월드,084680,Consumer Cyclical
500,삼성출판사,068290,Communication Services
501,제일파마홀딩스,002620,Healthcare
502,퍼스텍,010820,Industrials
503,에이블씨엔씨,078520,Consumer Defensive
504,태경산업,015890,Basic Materials
